

:Start
1, prisons: BUT, I SWEAR, I'M INNOCENT!


:Location, The prison is located
1, On a small island on a remote coast.
2, On a small island near a city.
3, In a tower or annex of a castle.
4, Beneath a temple complex.
5, In an annex on a temple complex.
6, Beneath a town hall.
7, In an annex on a town hall.
8, Underneath a city, deep below ground.
9, Behind walls in a fortified rural location  [Behind walls in a fortified rural location]
10, Below ground, in a hidden rural location  [Below ground, in a hidden rural location]
11, Behind walls in a fortified wilderness location  [Behind walls in a fortified wilderness location]
12, Below ground, in a hidden wilderness location  [Below ground, in a hidden wilderness location]


:Behind walls in a fortified rural location 
2, coast
4, hills
6, plains.


:Below ground, in a hidden rural location 
2, coast
4, hills
6, plains.


:Behind walls in a fortified wilderness location 
1, desert,
2, forest,
3, hills
4, mountains,
5, swamp
6, tundra.


:Below ground, in a hidden wilderness location 
1, desert
2, forest
3, hills
4, mountains
5, swamp
6, tundra


:Builder, The prison was built by
1, Humanely; they receive reasonable meals, some exercise, and healing when needed.
2, An ambitious lord or lady.
3, Like dogs; they receive poor quality meals and enough healing to keep them alive.
4, A mighty warrior or warlord.
5, Like rats; they receive terrible meals and are plagued by sickness.
6, Like they don't exist; occasionally they receive food.
7, An unscrupulous king or queen.
8, A vain lord or lady.
9, A powerful witch or wizard.
10, A beloved sovereign.
11, A prosperous merchant guild.
12, A powerful noble house.


:Rooms, This chamber is
1, A prison cell.
2, Another prison cell.
3, A passageway connecting cell blocks.
4, A guardroom.
5, The barracks.
6, The jailer's quarters.
7, A yard or large indoor space for exercise.
8, A dining hall.
9, An interrogation room.
10, A torture chamber.


:Features, You notice
1, A wooden door reinforced with steel bands.
2, Steel bars where you expected a stone wall.
3, Empty manacles along the wall.
4, An empty sconce to hold a torch.
5, Distant torchlight.
6, The floor is uneven.
7, A crack in the stone floor.
8, A mouse skittering underfoot.
9, The stench of rotting flesh.
10, The scent of stale urine.
11, A putrid smell.
12, A dank and moldy odor.
13, An uncomfortable groaning.
14, A faint scratching sound.
15, An odd tapping sound.
16, The squeaking of rats.
17, The shouting of distant voices.
18, Howls of agony.
19, Horrific screams.
20, The clanking of chains.


:Floorplan, The prison complex is
2, A sprawling maze of twisting passages.
3, A sprawling maze of long hallways.
5, Organized in neat rows of small cells or pits.
6, Organized around a large cell block or pit.


:Defenses, The prison is surrounded by
1, Very high stone walls.
2, Incredibly thick stone walls.
3, A curtain wall with many gatehouses.
4, A moat filled with putrescent water.
5, A moat filled with thick, boot-sucking mud.
6, A moat filled with sharp spikes.


:Reputation, The prison is known for
